Name,Rk,Uni,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Justin Bruihl,1,47.0,us US,Pitcher,*,NULL,28,L,L,"6' 2""",215,Jun 26 1997,2016,bruihju01
Tink Hence,2,30.0,us US,Pitcher,*,NULL,22,R,R,"6' 1""",195,Aug 6 2002,2021,redirect.fcgi?player=1&mlb_ID=693311
Matt Svanson,3,49.0,us US,Pitcher,*,NULL,26,R,R,"6' 5""",235,Jan 31 1999,2018,svansma01
Tekoah Roby,4,38.0,us US,Pitcher,*,NULL,23,R,R,"6' 1""",210,Sep 18 2001,2021,redirect.fcgi?player=1&mlb_ID=694358
Hunter Dobbins,5,40.0,us US,Pitcher,*,NULL,25,R,R,"6' 2""",185,Aug 30 1999,2019,dobbihu01
Richard Fitts,6,35.0,us US,Pitcher,*,NULL,25,R,R,"6' 3""",230,Dec 17 1999,2019,fittsri01
Matt Pushard,7,67.0,us US,Pitcher,*,NULL,27,R,R,"6' 4""",250,Oct 27 1997,2017,redirect.fcgi?player=1&mlb_ID=690155
Chris Roycroft,8,58.0,us US,Pitcher,*,NULL,28,R,R,"6' 8""",230,Jun 21 1997,2016,roycrch01
Ryne Stanek,9,55.0,us US,Pitcher,*,NULL,33,R,R,"6' 4""",226,Jul 26 1991,2011,stanery01
Cooper Hjerpe,10,56.0,us US,Pitcher,*,NULL,24,L,L,"6' 3""",200,Mar 16 2001,2020,redirect.fcgi?player=1&mlb_ID=687309
Ryan Fernandez,11,64.0,us US,Pitcher,*,NULL,27,R,R,"6' 0""",200,Jun 11 1998,2017,fernary01
Kyle Leahy,12,62.0,us US,Pitcher,*,NULL,28,S,R,"6' 5""",225,Jun 4 1997,2016,leahyky01
Riley O'Brien,13,61.0,us US,Pitcher,*,NULL,30,R,R,"6' 4""",180,Feb 6 1995,2014,obrieri01
Nick Raquet,14,70.0,us US,Pitcher,*,NULL,29,R,L,"6' 0""",215,Dec 12 1995,2015,raqueni01
Andre Pallante,15,53.0,us US,Pitcher,*,NULL,26,R,R,"6' 0""",215,Sep 18 1998,2017,pallaan01
Matthew Liberatore,16,32.0,us US,Pitcher,*,NULL,25,L,L,"6' 4""",215,Nov 6 1999,2018,liberma01
Michael McGreevy,17,36.0,us US,Pitcher,*,NULL,24,L,R,"6' 4""",220,Jul 8 2000,2019,mcgremi01
Dustin May,18,3.0,us US,Pitcher,*,NULL,27,R,R,"6' 6""",180,Sep 6 1997,2016,maydu01
JoJo Romero,19,59.0,us US,Pitcher,*,NULL,28,L,L,"5' 11""",215,Sep 9 1996,2015,romerjo01
Gordon Graceffo,20,44.0,us US,Pitcher,*,NULL,25,R,R,"6' 4""",220,Mar 17 2000,2019,gracego01
Andre Granillo,21,65.0,us US,Pitcher,*,NULL,25,R,R,"6' 4""",250,May 12 2000,2019,granian01
Brycen Mautz,22,52.0,us US,Pitcher,*,NULL,23,L,L,"6' 3""",190,Jul 17 2001,2020,redirect.fcgi?player=1&mlb_ID=802408
Leonardo Bernal,23,13.0,pa PA,Position,*,NULL,21,S,R,"6' 0""",245,Feb 13 2004,2021,redirect.fcgi?player=1&mlb_ID=699024
Victor Scott II,24,11.0,us US,Position,*,NULL,24,L,L,"5' 11""",190,Feb 12 2001,2020,scottvi01
Joshua Baez,25,22.0,us US,Position,*,NULL,22,R,R,"6' 3""",220,Jun 28 2003,2021,redirect.fcgi?player=1&mlb_ID=695491
Jimmy Crooks,26,8.0,us US,Position,*,NULL,23,L,R,"6' 0""",230,Jul 19 2001,2021,crookji01
Thomas Saggese,27,25.0,us US,Position,*,NULL,23,R,R,"5' 11""",185,Apr 10 2002,2021,saggeth01
Nathan Church,28,27.0,us US,Position,*,NULL,24,L,L,"5' 10""",180,Jul 12 2000,2020,churcna01
César Prieto,29,31.0,cu CU,Position,*,NULL,26,L,R,"5' 9""",195,May 10 1999,2017,prietce01
Masyn Winn,30,0.0,us US,Position,*,NULL,23,R,R,"5' 9""",185,Mar 21 2002,2021,winnma01
Jordan Walker,31,18.0,us US,Position,*,NULL,23,R,R,"6' 6""",250,May 22 2002,2021,walkejo02
Pedro Pagés,32,43.0,ve VE,Position,*,NULL,26,R,R,"5' 11""",245,Sep 17 1998,2017,pagespe02
Brendan Donovan,33,33.0,de DE,Position,*,NULL,28,L,R,"5' 11""",210,Jan 16 1997,2016,donovbr01
Alec Burleson,34,41.0,us US,Position,*,NULL,26,L,L,"6' 0""",225,Nov 25 1998,2018,burleal01
Iván Herrera,35,48.0,pa PA,Position,*,NULL,25,R,R,"5' 11""",220,Jun 1 2000,2017,herreiv01
Nolan Gorman,36,16.0,us US,Position,*,NULL,25,L,R,"6' 0""",225,May 10 2000,2018,gormano01
José Fermín,37,15.0,do DO,Position,*,NULL,26,R,R,"5' 10""",198,Mar 29 1999,2016,fermijo01
Bryan Torres,38,39.0,pr PR,Position,*,NULL,27,L,R,"5' 7""",165,Jul 2 1997,2015,redirect.fcgi?player=1&mlb_ID=663494
Lars Nootbaar,39,21.0,us US,Position,*,NULL,27,L,R,"6' 1""",205,Sep 8 1997,2016,nootbla01
Yohel Pozo,40,63.0,ve VE,Position,*,NULL,28,R,R,"5' 11""",201,Jun 14 1997,2014,pozoyo01
Brandon Woodruff,1,53.0,us US,Pitcher,*,NULL,32,L,R,"6' 4""",242,Feb 10 1993,2012,woodrbr01
Logan Henderson,2,43.0,us US,Pitcher,*,NULL,23,R,R,"6' 0""",209,Mar 2 2002,2022,hendelo01
Jacob Misiorowski,3,32.0,us US,Pitcher,*,NULL,23,R,R,"6' 7""",197,Apr 3 2002,2022,misioja01
Chad Patrick,4,39.0,us US,Pitcher,*,NULL,26,R,R,"6' 1""",217,Aug 14 1998,2018,patrich01
Carlos Rodriguez,5,27.0,ni NI,Pitcher,*,NULL,23,R,R,"5' 11""",205,Nov 27 2001,2021,rodrica02
Coleman Crow,6,72.0,us US,Pitcher,*,NULL,24,R,R,"6' 0""",175,Dec 30 2000,2021,redirect.fcgi?player=1&mlb_ID=689441
Robert Gasser,7,54.0,us US,Pitcher,*,NULL,26,L,L,"6' 0""",192,May 31 1999,2018,gassero01
Brandon Sproat,8,23.0,us US,Pitcher,*,NULL,24,R,R,"6' 3""",215,Sep 17 2000,2020,sproabr01
Craig Yoho,9,48.0,us US,Pitcher,*,NULL,25,R,R,"6' 2""",235,Oct 23 1999,2019,yohocr01
Quinn Priester,10,46.0,us US,Pitcher,*,NULL,24,R,R,"6' 3""",210,Sep 16 2000,2019,priesqu01
Abner Uribe,11,45.0,do DO,Pitcher,*,NULL,25,R,R,"6' 3""",210,Jun 20 2000,2018,uribeab01
Grant Anderson,12,56.0,us US,Pitcher,*,NULL,28,R,R,"6' 0""",204,Jun 21 1997,2016,andergr01
Aaron Ashby,13,26.0,us US,Pitcher,*,NULL,27,R,L,"6' 0""",188,May 24 1998,2018,ashbyaa01
Angel Zerpa,14,61.0,ve VE,Pitcher,*,NULL,25,L,L,"6' 0""",220,Sep 27 1999,2017,zerpaan01
Sammy Peralta,15,57.0,us US,Pitcher,*,NULL,27,L,L,"6' 2""",215,May 10 1998,2017,peralsa01
Rob Zastryzny,16,58.0,ca CA,Pitcher,*,NULL,33,R,L,"6' 3""",231,Mar 26 1992,2011,zastrro01
Easton McGee,17,50.0,us US,Pitcher,*,NULL,27,R,R,"6' 7""",217,Dec 26 1997,2016,mcgeeea01
Trevor Megill,18,29.0,us US,Pitcher,*,NULL,31,L,R,"6' 8""",249,Dec 5 1993,2012,megiltr01
Jared Koenig,19,47.0,us US,Pitcher,*,NULL,31,R,L,"6' 5""",248,Jan 24 1994,2015,koenija01
DL Hall,20,37.0,us US,Pitcher,*,NULL,26,L,L,"6' 1""",204,Sep 19 1998,2017,halldl01
Sal Frelick,21,10.0,us US,Position,*,NULL,25,L,R,"5' 8""",188,Apr 19 2000,2018,frelisa01
Caleb Durbin,22,21.0,us US,Position,*,NULL,25,R,R,"5' 7""",183,Feb 22 2000,2019,durbica01
Christian Yelich,23,22.0,us US,Position,*,NULL,33,L,R,"6' 3""",203,Dec 5 1991,2010,yelicch01
Jake Bauers,24,9.0,us US,Position,*,NULL,29,L,L,"6' 0""",203,Oct 6 1995,2013,bauerja01
Jackson Chourio,25,11.0,ve VE,Position,*,NULL,21,R,R,"6' 0""",204,Mar 11 2004,2021,chourja01
Andruw Monasterio,26,14.0,ve VE,Position,*,NULL,28,R,R,"5' 11""",195,May 30 1997,2014,monasan01
Jeferson Quero,27,15.0,ve VE,Position,*,NULL,22,R,R,"5' 11""",203,Oct 8 2002,2021,redirect.fcgi?player=1&mlb_ID=691620
Joey Ortiz,28,3.0,us US,Position,*,NULL,26,R,R,"5' 10""",183,Jul 14 1998,2017,ortizjo06
William Contreras,29,24.0,ve VE,Position,*,NULL,27,R,R,"5' 10""",218,Dec 24 1997,2015,contrwi02
Blake Perkins,30,16.0,us US,Position,*,NULL,28,S,R,"6' 0""",187,Sep 10 1996,2015,perkibl01
Andrew Vaughn,31,28.0,us US,Position,*,NULL,27,R,R,"5' 10""",215,Apr 3 1998,2017,vaughan01
Brandon Lockridge,32,20.0,us US,Position,*,NULL,28,R,R,"5' 11""",185,Mar 14 1997,2016,lockrbr01
Akil Baddoo,33,25.0,us US,Position,*,NULL,26,L,L,"5' 11""",214,Aug 16 1998,2016,baddoak01
Anthony Seigler,34,18.0,us US,Position,*,NULL,26,L,R,"5' 10""",192,Jun 20 1999,2018,seiglan01
Brice Turang,35,2.0,us US,Position,*,NULL,25,L,R,"5' 11""",190,Nov 21 1999,2018,turanbr02
Steward Berroa,36,35.0,do DO,Position,*,NULL,26,S,R,"5' 9""",178,Jun 5 1999,2017,berrost01
Garrett Mitchell,37,5.0,us US,Position,*,NULL,26,L,R,"6' 2""",228,Sep 4 1998,2017,mitchga01
Tyler Black,38,7.0,ca CA,Position,*,NULL,24,L,R,"6' 1""",199,Jul 26 2000,2019,blackty01
Phil Maton,1,88.0,us US,Pitcher,*,NULL,32,R,R,"6' 2""",206,Mar 25 1993,2012,matonph01
Shota Imanaga,2,18.0,jp JP,Pitcher,*,NULL,31,L,L,"5' 10""",175,Sep 1 1993,2016,imanash01
Porter Hodge,3,37.0,us US,Pitcher,*,NULL,24,R,R,"6' 4""",230,Feb 21 2001,2019,hodgepo01
Cade Horton,4,22.0,us US,Pitcher,*,NULL,23,R,R,"6' 1""",211,Aug 20 2001,2022,hortoca01
Ethan Roberts,5,39.0,us US,Pitcher,*,NULL,27,R,R,"5' 10""",180,Jul 4 1997,2016,roberet01
Luke Little,6,43.0,us US,Pitcher,*,NULL,24,L,L,"6' 8""",220,Aug 30 2000,2019,littllu01
Jack Neely,7,37.0,us US,Pitcher,*,NULL,25,R,R,"6' 8""",245,Jun 5 2000,2019,neelyja01
Ben Brown,8,32.0,us US,Pitcher,*,NULL,25,R,R,"6' 6""",210,Sep 9 1999,2017,brownbe02
Daniel Palencia,9,48.0,ve VE,Pitcher,*,NULL,25,R,R,"5' 11""",160,Feb 5 2000,2021,palenda01
Ryan Rolison,10,NULL,us US,Pitcher,*,NULL,27,R,L,"6' 2""",213,Jul 11 1997,2017,rolisry01
Gavin Hollowell,11,46.0,us US,Pitcher,*,NULL,27,R,R,"6' 7""",215,Nov 4 1997,2016,holloga01
Javier Assad,12,72.0,mx MX,Pitcher,*,NULL,27,R,R,"6' 1""",200,Jul 30 1997,2016,assadja01
Edward Cabrera,13,30.0,do DO,Pitcher,*,NULL,27,R,R,"6' 5""",217,Apr 13 1998,2016,cabreed02
Jordan Wicks,14,36.0,us US,Pitcher,*,NULL,25,L,L,"6' 3""",220,Sep 1 1999,2019,wicksjo01
Jacob Webb,15,71.0,us US,Pitcher,*,NULL,31,R,R,"6' 2""",210,Aug 15 1993,2014,webbja01
Justin Steele,16,35.0,us US,Pitcher,*,NULL,29,L,L,"6' 2""",205,Jul 11 1995,2014,steelju01
Hunter Harvey,17,45.0,us US,Pitcher,*,NULL,30,R,R,"6' 3""",233,Dec 9 1994,2013,harvehu01
Riley Martin,18,NULL,us US,Pitcher,*,NULL,27,L,L,"6' 1""",215,Mar 19 1998,2017,redirect.fcgi?player=1&mlb_ID=702303
Colin Rea,19,53.0,us US,Pitcher,*,NULL,34,R,R,"6' 5""",220,Jul 1 1990,2010,reaco01
Jameson Taillon,20,50.0,us US,Pitcher,*,NULL,33,R,R,"6' 5""",230,Nov 18 1991,2011,taillja01
Matthew Boyd,21,16.0,us US,Pitcher,*,NULL,34,L,L,"6' 3""",223,Feb 2 1991,2011,boydma01
Caleb Thielbar,22,NULL,us US,Pitcher,*,NULL,38,R,L,"6' 0""",205,Jan 31 1987,2009,thielca01
Hoby Milner,23,41.0,us US,Pitcher,*,NULL,34,L,L,"6' 3""",187,Jan 13 1991,2011,milneho01
Matt Shaw,24,6.0,us US,Position,*,NULL,23,R,R,"5' 10""",185,Nov 6 2001,2020,shawma01
Pedro Ramírez,25,NULL,ve VE,Position,*,NULL,21,S,R,"5' 9""",165,Apr 1 2004,2021,redirect.fcgi?player=1&mlb_ID=699393
Moisés Ballesteros,26,25.0,ve VE,Position,*,NULL,21,L,R,"5' 8""",215,Nov 8 2003,2021,ballemo01
Ben Cowles,27,NULL,us US,Position,*,NULL,25,R,R,"6' 1""",180,Feb 15 2000,2018,redirect.fcgi?player=1&mlb_ID=701496
James Triantos,28,NULL,us US,Position,*,NULL,22,R,R,"5' 11""",195,Jan 29 2003,2021,redirect.fcgi?player=1&mlb_ID=701649
Pete Crow-Armstrong,29,4.0,us US,Position,*,NULL,23,L,L,"6' 0""",184,Mar 25 2002,2021,crowape01
Michael Busch,30,29.0,us US,Position,*,NULL,27,L,R,"6' 0""",210,Nov 9 1997,2017,buschmi02
Kevin Alcántara,31,13.0,do DO,Position,*,NULL,22,R,R,"6' 6""",188,Jul 12 2002,2019,alcanke01
Justin Dean,32,NULL,us US,Position,*,NULL,28,R,R,"5' 8""",185,Dec 6 1996,2016,deanju01
Seiya Suzuki,33,27.0,jp JP,Position,*,NULL,30,R,R,"6' 0""",182,Aug 18 1994,2013,suzukse01
Miguel Amaya,34,9.0,pa PA,Position,*,NULL,26,R,R,"6' 1""",230,Mar 9 1999,2016,amayami01
Ian Happ,35,8.0,us US,Position,*,NULL,30,S,R,"5' 11""",205,Aug 12 1994,2013,happia01
Nico Hoerner,36,2.0,us US,Position,*,NULL,28,R,R,"5' 11""",200,May 13 1997,2016,hoernni01
Dansby Swanson,37,7.0,us US,Position,*,NULL,31,R,R,"6' 0""",190,Feb 11 1994,2013,swansda01
Carson Kelly,38,15.0,us US,Position,*,NULL,30,R,R,"6' 1""",212,Jul 14 1994,2012,kellyca02
Alex Bregman,39,3.0,us US,Position,*,NULL,31,R,R,"5' 11""",190,Mar 30 1994,2013,bregmal01
Tyler Austin,40,17.0,us US,Position,*,NULL,33,R,R,"6' 2""",220,Sep 6 1991,2010,austity01
Chase Burns,1,26.0,it IT,Pitcher,*,NULL,22,R,R,"6' 3""",210,Jan 16 2003,2022,burnsch01
Connor Phillips,2,34.0,us US,Pitcher,*,NULL,24,R,R,"6' 2""",209,May 4 2001,2021,phillco01
Jose Franco,3,74.0,ve VE,Pitcher,*,NULL,24,R,R,"6' 2""",257,Nov 25 2000,2019,redirect.fcgi?player=1&mlb_ID=683742
Luis Mey,4,47.0,do DO,Pitcher,*,NULL,24,R,R,"6' 5""",235,Jun 24 2001,2019,meylu01
Zach Maxwell,5,78.0,us US,Pitcher,*,NULL,24,R,R,"6' 6""",275,Jan 26 2001,2020,maxweza01
Brandon Williamson,6,65.0,us US,Pitcher,*,NULL,27,R,L,"6' 6""",210,Apr 2 1998,2017,willibr02
Julian Aguiar,7,39.0,us US,Pitcher,*,NULL,24,L,R,"6' 3""",180,Jun 4 2001,2021,aguiaju01
Andrew Abbott,8,41.0,us US,Pitcher,*,NULL,26,L,L,"6' 0""",192,Jun 1 1999,2018,abbotan01
Graham Ashcraft,9,23.0,us US,Pitcher,*,NULL,27,L,R,"6' 2""",248,Feb 11 1998,2017,ashcrgr01
Hunter Greene,10,21.0,us US,Pitcher,*,NULL,25,R,R,"6' 5""",242,Aug 6 1999,2017,greenhu01
Rhett Lowder,11,25.0,us US,Pitcher,*,NULL,23,R,R,"6' 2""",200,Mar 8 2002,2020,lowderh01
Chase Petty,12,61.0,us US,Pitcher,*,NULL,22,R,R,"6' 1""",190,Apr 4 2003,2021,pettych02
Nick Lodolo,13,40.0,us US,Pitcher,*,NULL,27,L,L,"6' 6""",216,Feb 5 1998,2017,lodolni01
Brady Singer,14,51.0,us US,Pitcher,*,NULL,28,R,R,"6' 5""",215,Aug 4 1996,2016,singebr01
Tony Santillan,15,64.0,us US,Pitcher,*,NULL,28,R,R,"6' 3""",285,Apr 15 1997,2015,santito01
Caleb Ferguson,16,46.0,us US,Pitcher,*,NULL,28,R,L,"6' 3""",225,Jul 2 1996,2015,ferguca01
Brock Burke,17,49.0,us US,Pitcher,*,NULL,28,L,L,"6' 4""",210,Aug 4 1996,2014,burkebr01
Emilio Pagán,18,15.0,us US,Pitcher,*,NULL,34,L,R,"6' 2""",208,May 7 1991,2011,paganem01
Sam Moll,19,50.0,us US,Pitcher,*,NULL,33,L,L,"5' 9""",190,Jan 3 1992,2011,mollsa01
Pierce Johnson,20,52.0,us US,Pitcher,*,NULL,34,R,R,"6' 2""",202,May 10 1991,2010,johnspi01
Sal Stewart,21,27.0,us US,Position,*,NULL,21,R,R,"6' 1""",224,Dec 7 2003,2022,stewasa02
Edwin Arroyo,22,56.0,pr PR,Position,*,NULL,21,S,R,"5' 11""",173,Aug 25 2003,2021,redirect.fcgi?player=1&mlb_ID=695490
Leo Balcazar,23,85.0,ve VE,Position,*,NULL,21,R,R,"5' 11""",190,Jun 17 2004,2021,redirect.fcgi?player=1&mlb_ID=699114
Héctor Rodríguez,24,43.0,do DO,Position,*,NULL,21,L,R,"5' 10""",200,Mar 11 2004,2021,redirect.fcgi?player=1&mlb_ID=699302
Blake Dunn,25,59.0,us US,Position,*,NULL,26,R,R,"5' 10""",210,Sep 5 1998,2018,dunnbl01
Christian Encarnacion-Strand,26,33.0,us US,Position,*,NULL,25,R,R,"6' 0""",224,Dec 1 1999,2021,encarch01
Eugenio Suárez,27,28.0,ve VE,Position,*,NULL,33,R,R,"5' 11""",213,Jul 18 1991,2009,suareeu01
Tyler Callihan,28,32.0,us US,Position,*,NULL,25,L,R,"5' 11""",205,Jun 22 2000,2019,callity01
Elly De La Cruz,29,44.0,do DO,Position,*,NULL,23,S,R,"6' 5""",200,Jan 11 2002,2019,delacel01
Noelvi Marte,30,4.0,do DO,Position,*,NULL,23,R,R,"6' 2""",216,Oct 16 2001,2019,marteno01
Matt McLain,31,9.0,us US,Position,*,NULL,25,R,R,"5' 9""",180,Aug 6 1999,2018,mclaima01
Rece Hinds,32,57.0,us US,Position,*,NULL,24,R,R,"6' 3""",215,Sep 5 2000,2019,hindsre01
TJ Friedl,33,29.0,us US,Position,*,NULL,29,L,L,"5' 8""",180,Aug 14 1995,2014,friedtj01
Spencer Steer,34,7.0,us US,Position,*,NULL,27,R,R,"5' 9""",185,Dec 7 1997,2016,steersp01
JJ Bleday,35,22.0,us US,Position,*,NULL,27,L,L,"6' 2""",205,Nov 10 1997,2017,bledajj01
Dane Myers,36,17.0,us US,Position,*,NULL,29,R,R,"6' 0""",205,Mar 8 1996,2015,myersda01
Will Benson,37,30.0,us US,Position,*,NULL,27,L,L,"6' 4""",230,Jun 16 1998,2016,bensowi01
Tyler Stephenson,38,37.0,us US,Position,*,NULL,28,R,R,"6' 3""",225,Aug 16 1996,2015,stephty01
Ke'Bryan Hayes,39,3.0,us US,Position,*,NULL,28,R,R,"5' 11""",215,Jan 28 1997,2015,hayeske01
Jose Trevino,40,35.0,us US,Position,*,NULL,32,R,R,"5' 9""",215,Nov 28 1992,2012,trevijo01
Dennis Santana,1,60.0,do DO,Pitcher,*,NULL,29,R,R,"6' 2""",190,Apr 12 1996,2013,santade01
Tom Harrington,2,78.0,us US,Pitcher,*,NULL,23,R,R,"6' 2""",185,Jul 12 2001,2021,harrito03
Antwone Kelly,3,89.0,aw AW,Pitcher,*,NULL,21,R,R,"5' 10""",183,Sep 1 2003,2021,redirect.fcgi?player=1&mlb_ID=699008
Bubba Chandler,4,57.0,us US,Pitcher,*,NULL,22,S,R,"6' 3""",218,Sep 14 2002,2021,chandbu01
Wilber Dotel,5,86.0,do DO,Pitcher,*,NULL,22,R,R,"6' 3""",178,Sep 25 2002,2021,redirect.fcgi?player=1&mlb_ID=696062
Paul Skenes,6,30.0,us US,Pitcher,*,NULL,23,R,R,"6' 6""",260,May 29 2002,2021,skenepa01
Kyle Nicolas,7,66.0,us US,Pitcher,*,NULL,26,R,R,"6' 3""",225,Feb 22 1999,2018,nicolky01
Ryan Harbin,8,84.0,us US,Pitcher,*,NULL,23,R,R,"6' 4""",195,Aug 6 2001,2019,redirect.fcgi?player=1&mlb_ID=689877
Brandan Bidois,9,77.0,au AU,Pitcher,*,NULL,24,R,R,"6' 2""",158,Jun 21 2001,2018,redirect.fcgi?player=1&mlb_ID=684049
Jared Jones,10,37.0,us US,Pitcher,*,NULL,23,L,R,"6' 0""",190,Aug 6 2001,2021,jonesja09
Hunter Barco,11,45.0,us US,Pitcher,*,NULL,24,L,L,"6' 4""",235,Dec 15 2000,2020,barcohu01
Mason Montgomery,12,NULL,us US,Pitcher,*,NULL,25,L,L,"6' 2""",205,Jun 17 2000,2019,montgma01
Evan Sisk,13,48.0,us US,Pitcher,*,NULL,28,L,L,"6' 2""",209,Apr 23 1997,2016,siskev01
Braxton Ashcraft,14,67.0,us US,Pitcher,*,NULL,25,L,R,"6' 5""",220,Oct 5 1999,2018,ashcrbr01
Isaac Mattson,15,72.0,us US,Pitcher,*,NULL,29,R,R,"6' 2""",215,Jul 14 1995,2015,mattsis01
Yohan Ramírez,16,49.0,do DO,Pitcher,*,NULL,30,R,R,"6' 3""",200,May 6 1995,2016,ramiryo01
Gregory Soto,17,31.0,do DO,Pitcher,*,NULL,30,L,L,"6' 1""",234,Feb 11 1995,2013,sotogr01
Mitch Keller,18,23.0,us US,Pitcher,*,NULL,29,R,R,"6' 3""",212,Apr 4 1996,2014,kellemi03
Justin Lawrence,19,61.0,pa PA,Pitcher,*,NULL,30,R,R,"6' 3""",213,Nov 25 1994,2014,lawreju01
Cam Sanders,20,64.0,us US,Pitcher,*,NULL,28,R,R,"6' 2""",190,Dec 9 1996,2016,sandeca01
Carmen Mlodzinski,21,50.0,us US,Pitcher,*,NULL,26,R,R,"6' 2""",220,Feb 19 1999,2018,mlodzca01
Nick Gonzales,22,3.0,us US,Position,*,NULL,26,R,R,"5' 9""",200,May 27 1999,2018,gonzani01
Rafael Flores,23,43.0,us US,Position,*,NULL,24,R,R,"6' 4""",232,Nov 7 2000,2022,florera03
Esmerlyn Valdez,24,85.0,do DO,Position,*,NULL,21,R,R,"6' 2""",181,Jan 27 2004,2021,redirect.fcgi?player=1&mlb_ID=699013
Jared Triolo,25,19.0,us US,Position,*,NULL,27,R,R,"6' 3""",210,Feb 8 1998,2017,triolja01
Ryan O'Hearn,26,29.0,us US,Position,*,NULL,31,L,L,"6' 2""",220,Jul 26 1993,2012,ohearry01
Joey Bart,27,14.0,us US,Position,*,NULL,28,R,R,"6' 3""",235,Dec 15 1996,2016,bartjo01
Billy Cook,28,25.0,us US,Position,*,NULL,26,R,R,"6' 0""",200,Jan 7 1999,2017,cookbi01
Jake Mangum,29,NULL,us US,Position,*,NULL,29,S,L,"6' 0""",190,Mar 8 1996,2016,manguja01
Nick Yorke,30,38.0,us US,Position,*,NULL,23,R,R,"6' 0""",210,Apr 2 2002,2021,yorkeni01
Brandon Lowe,31,NULL,us US,Position,*,NULL,30,L,R,"5' 10""",190,Jul 6 1994,2014,lowebr01
Jhostynxon Garcia,32,34.0,ve VE,Position,*,NULL,22,R,R,"6' 0""",163,Dec 11 2002,2021,garcijh01
Henry Davis,33,32.0,us US,Position,*,NULL,25,R,R,"6' 0""",225,Sep 21 1999,2019,davishe01
Spencer Horwitz,34,2.0,us US,Position,*,NULL,27,L,R,"5' 11""",200,Nov 14 1997,2017,horwisp01
Jack Brannigan,35,NULL,us US,Position,*,NULL,24,R,R,"6' 0""",210,Mar 11 2001,2020,redirect.fcgi?player=1&mlb_ID=687394
Oneil Cruz,36,15.0,do DO,Position,*,NULL,26,L,R,"6' 7""",240,Oct 4 1998,2016,cruzon01
Enmanuel Valdez,37,47.0,do DO,Position,*,NULL,26,L,R,"5' 9""",190,Dec 28 1998,2016,valdeen01
Bryan Reynolds,38,10.0,us US,Position,*,NULL,30,S,R,"6' 2""",205,Jan 27 1995,2014,reynobr01
Endy Rodríguez,39,5.0,do DO,Position,*,NULL,25,S,R,"6' 0""",210,May 26 2000,2018,rodrien01
Jack Suwinski,40,65.0,us US,Position,*,NULL,26,L,L,"6' 1""",215,Jul 29 1998,2016,suwinja01
